A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,rate
300,,405,700,6:30:00,25,,,8:00:00,100,9:00:00,103,0.2,10:00:00,104,11:00:00,105,0.2,300,15:00-15:30,40,9,5,15:30:00,70,16:00:00,78,0:00-1:00,320,3.5,3.5,1:00-2:30,2:30:00,60,4:30:00,40,8:00-9:30,10:00-11:30,,800,0.15,400,0.9
300,,405,700,20:00:00,29,,,22:00:00,101,23:00:00,103,0.2,0:00:00,104,1:00:00,105,0.2,200,1:00-2:00,50,9,5,2:00:00,80,3:00:00,73,3:00-4:00,320,3.5,3.5,4:00-5:00,5:00:00,80,7:00:00,45,7:00-8:30,8:30-10:00,10:00-11:00,1200,0.15,400,0.902
300,,405,700,17:00:00,30,,,18:00:00,100,19:00:00,101,0.2,20:00:00,103,21:00:00,105,0.2,200,21:30-22:00,50,10,5,22:30:00,70,23:30:00,78,3:30-4:30,290,3.5,3.5,4:30-5:30,5:30:00,65,7:30:00,45,9:00-10:30,10:30-12:00,,800,0.15,400,0.902
300,,405,700,1:00:00,21,,,2:30:00,100,3:30:00,101,0.2,4:30:00,103,5:30:00,105,0.2,200,6:00-6:30,50,9,5,7:00:00,70,7:30:00,78,10:30-11:00,290,3.5,3.5,11:00-12:00,12:00:00,60,19:00:00,36,19:30-21:00,21:40-23:10,,800,0.15,380,0.868
300,,405,700,14:00:00,21,,,15:00:00,100,16:00:00,101,0.2,17:00:00,102,18:00:00,103,0.2,200,18:00-18:30,50,9,5,18:30:00,70,19:00:00,78,19:00-20:00,300,3.5,3.5,20:00-21:30,21:30:00,60,4:00:00,39,4:30-6:00,7:00-8:00,,800,0.15,380,0.878
300,,405,700,7:00:00,20,,,8:30:00,100,9:30:00,102,0.2,10:30:00,103,11:30:00,105,0.2,200,12:00-12:30,50,9,5,13:00:00,70,13:30:00,78,17:00-18:00,290,3.5,3.5,18:00-19:00,19:00:00,60,21:00:00,40,23:30-1:00,2:00-3:30,,800,0.15,400,0.902
300,,405,700,17:30:00,21,,,18:30:00,100,19:30:00,101,0.2,20:30:00,103,21:30:00,105,0.2,200,21:30-22:00,40,9,5,22:00:00,70,22:30:00,78,2:00-3:00,300,3.5,3.5,3:00-4:30,4:30:00,60,6:30:00,40,9:00-10:30,11:00-12:30,,800,0.15,400,0.902
300,,405,700,1:30:00,35,,,2:30:00,100,3:30:00,101,0.2,4:30:00,103,5:30:00,105,0.2,200,6:00-6:30,50,9,5,6:30:00,70,7:00:00,78,11:00-12:00,280,3.5,3.5,12:00-13:30,13:30:00,60,19:00:00,40,19:00-20:30,21:30-23:00,,800,0.15,400,0.902
300,,405,700,12:00:00,35,,,13:00:00,100,14:00:00,102,0.2,15:00:00,103,16:00:00,105,0.2,200,16:30-17:00,50,10,5,17:30:00,70,18:00:00,70,22:30-23:30,290,3.5,3.5,23:30-0:30,0:30:00,65,3:00:00,45,5:00-6:30,7:30-9:00,,800,0.15,400,0.913
300,,405,700,22:00:00,21,,,23:30:00,100,0:30:00,101,0.2,1:30:00,103,2:30:00,104,0.2,200,3:00-3:30,50,9,5,4:00:00,70,4:30:00,78,7:00-8:00,290,3.5,3.5,8:30-10:00,10:00:00,60,12:00:00,40,13:30-15:00,15:00-17:00,,800,0.15,400,0.902
300,,405,700,7:00:00,20,,,8:00:00,100,9:00:00,101,0.2,10:00:00,102,11:00:00,105,0.2,200,11:30-12:00,40,9,5,12:30:00,70,13:00:00,78,16:30-17:00,290,3.5,3.5,17:30-19:00,19:00:00,60,21:00:00,38,0:00-1:30,2:30-4:00,,800,0.15,400,0.902
300,,405,700,4:00:00,29,,,6:00:00,101,7:00:00,102,0.2,8:00:00,103,9:00:00,106,0.2,200,9:00-10:00,50,9,5,10:00:00,79,11:00:00,72,11:00-12:00,,,,12:00-13:00,13:00:00,78,5:00:00,45,15:00-16:30,16:30-18:00,18:00-19:00,1200,0.15,400,0.913
300,,405,700,19:00:00,35,,,20:00:00,100,21:00:00,102,0.2,22:00:00,103,23:00:00,106,0.2,200,23:30-0:00,50,10,5,0:00:00,70,0:30:00,70,0:00-1:30,290,3.5,3.5,1:30-3:00,3:00:00,60,8:00:00,40,9:00-10:10,11:30-13:00,,800,0.15,400,0.891
300,,405,700,2:00:00,34,,,3:00:00,100,4:00:00,101,0.2,5:00:00,104,6:00:00,104,0.2,200,6:30-7:30,50,10,5,7:30:00,70,8:00:00,77,12:00-13:00,290,3.5,3.5,13:00-14:00,14:00:00,65,16:30:00,45,19:30-21:00,21:30-23:00,,800,0.15,400,0.902
